id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
50548	prokar dasgupta	1.0875	-1.0356	5	5	10	8	145	17.2007	2017.25	18.125	2.1501
50639	qianhua zheng	-0.9506	-0.739	11	7	12	6	4	1.1389	2019.6667	0.6667	0.1898
50730	quan nha hong	-0.6578	0.4893	17	4	11	5	273	21.2133	2017.6	54.6	4.2427
50803	r brian haynes	-0.0666	-0.1718	4	12	18	14	1070	12.3714	2007.9286	76.4286	0.8837
50839	r douglas wilson	0.6299	0.5844	21	18	95	14	532	18.0016	2014.7143	38	1.2858
51076	r w dubois	-1.2389	1.234	23	9	52	6	201	1.6669	2009	33.5	0.2778
51133	rachel churchill	-0.4241	0.0262	1	3	3	5	30	2.781	2018	6	0.5562
51218	rachel riera	-0.4344	-0.4835	16	10	24	5	33	7.2615	2018.8	6.6	1.4523
51248	rachelle buchbinder	0.007	-0.2766	2	14	22	10	561	13.6197	2012.8	56.1	1.362
51590	rami h alrifai	-0.5103	-0.4178	16	6	11	6	53	9.6263	2019.1667	8.8333	1.6044
51889	raymond w lam	0.6167	0.3074	9	5	33	8	1444	19.1105	2010	180.5	2.3888
52003	rebecca l morgan	-0.2737	-0.3219	4	13	17	12	58	33.1827	2019.1667	4.8333	2.7652
52432	riccardo autorino	1.0499	-1.0466	5	11	23	13	541	30.5302	2016.8462	41.6154	2.3485
52436	riccardo campi	0.967	-1.0023	5	12	15	5	26	5.7118	2019.2	5.2	1.1424
52451	riccardo schiavina	0.9976	-0.9694	5	7	13	5	268	20.4493	2018.6	53.6	4.0899
52600	richard j lilford	-0.5021	-0.0262	1	3	5	6	177	3.352	2010	29.5	0.5587
53051	robert gagnon	0.9372	0.7147	7	32	140	15	841	15.2089	2011.9333	56.0667	1.0139
53065	robert hemmings	1.1942	0.6095	27	8	37	5	381	7.4422	2012.4	76.2	1.4884
53120	robert l reid	1.3264	0.4079	15	27	127	11	149	4.5444	2013.9091	13.5455	0.4131
53179	robert pickard	-0.3531	0.2164	17	2	2	5	336	5.8951	2011.4	67.2	1.179
53298	roberta shanman	0.0364	0.2284	6	9	20	6	233	8.0895	2015	38.8333	1.3482
